Session,Date,Question,Number of Responses,Average Points,Average %
10AM,1/18/2017,1,173,1.47,0.735
10AM,1/18/2017,2,173,1.94,0.97
10AM,1/18/2017,3,166,0.74,0.37
10AM,1/23/2017,1,207,0.65,0.325
10AM,1/23/2017,2,210,1.93,0.965
10AM,1/23/2017,3,216,1.36,0.68
10AM,1/23/2017,4,213,1.84,0.92
10AM,1/23/2017,5,205,1.8,0.9
10AM,1/23/2017,6,212,1.78,0.89
10AM,1/25/2017,1,177,1.09,0.545
10AM,1/25/2017,2,192,0.65,0.325
10AM,1/25/2017,3,198,1.38,0.69
10AM,1/25/2017,4,202,1.39,0.695
10AM,1/25/2017,5,207,1.8,0.9
10AM,1/25/2017,6,206,1.9,0.95
10AM,1/25/2017,7,212,1.91,0.955
10AM,1/25/2017,8,208,1.56,0.78
10AM,1/30/2017,1,205,1.49,0.745
10AM,1/30/2017,2,205,1.75,0.875
10AM,1/30/2017,3,205,1.75,0.875
10AM,1/30/2017,4,207,1.6,0.8
10AM,1/30/2017,5,205,1.6,0.8
11AM,1/18/2017,1,192,1.64,0.82
11AM,1/18/2017,2,194,1.94,0.97
11AM,1/18/2017,3,191,0.76,0.38
11AM,1/23/2017,1,215,0.44,0.22
11AM,1/23/2017,2,213,1.83,0.915
11AM,1/23/2017,3,211,1.59,0.795
11AM,1/23/2017,4,220,1.76,0.88
11AM,1/23/2017,5,214,1.74,0.87
11AM,1/23/2017,6,218,1.57,0.785
11AM,1/25/2017,1,200,1.14,0.57
11AM,1/25/2017,2,208,0.62,0.31
11AM,1/25/2017,3,222,1.56,0.78
11AM,1/25/2017,4,225,1.23,0.615
11AM,1/25/2017,5,229,1.81,0.905
11AM,1/25/2017,6,225,1.95,0.975
11AM,1/25/2017,7,228,1.93,0.965
11AM,1/25/2017,8,224,1.63,0.815
11AM,1/30/2017,1,221,1.67,0.835
11AM,1/30/2017,2,222,1.75,0.875
11AM,1/30/2017,3,218,1.81,0.905
11AM,1/30/2017,4,216,1.52,0.76
11AM,1/30/2017,5,222,1.84,0.92
10AM,2/1/2017,1,207,1.75,0.875
10AM,2/1/2017,2,208,1.6,0.8
10AM,2/1/2017,3,209,1.99,0.995
10AM,2/1/2017,4,212,1.9,0.95
10AM,2/1/2017,5,211,1.91,0.955
11AM,2/1/2017,1,228,1.89,0.945
11AM,2/1/2017,2,225,1.89,0.945
11AM,2/1/2017,3,224,1.96,0.98
11AM,2/1/2017,4,225,1.91,0.955
11AM,2/1/2017,5,230,1.9,0.95
10AM,2/6/2017,1,196,0.42,0.21
10AM,2/6/2017,2,197,1.06,0.53
10AM,2/6/2017,3,203,1.71,0.855
10AM,2/6/2017,4,202,1.92,0.96
10AM,2/6/2017,5,202,1.74,0.87
10AM,2/6/2017,6,198,1.84,0.92
11AM,2/6/2017,1,194,0.69,0.345
11AM,2/6/2017,2,201,1.83,0.915
11AM,2/6/2017,3,202,1.76,0.88
11AM,2/6/2017,4,199,1.92,0.96
11AM,2/6/2017,5,201,1.58,0.79
11AM,2/6/2017,6,203,1.79,0.895
10AM,2/8/2017,1,196,1.29,0.645
10AM,2/8/2017,2,196,1.57,0.785
10AM,2/8/2017,3,191,1.99,0.995
10AM,2/8/2017,4,183,0.59,0.295
10AM,2/8/2017,5,194,0.69,0.345
11AM,2/8/2017,1,204,1.24,0.62
11AM,2/8/2017,2,206,1.96,0.98
11AM,2/8/2017,3,198,1.15,0.575
11AM,2/8/2017,4,204,0.53,0.265
11AM,2/8/2017,5,202,0.85,0.425
10AM,2/13/2017,1,197,1.51,0.755
10AM,2/13/2017,2,195,1.83,0.915
10AM,2/13/2017,3,198,1.97,0.985
10AM,2/13/2017,4,200,1.17,0.585
10AM,2/13/2017,5,196,1.63,0.815
11AM,2/13/2017,1,197,1.7,0.85
11AM,2/13/2017,2,196,1.83,0.915
11AM,2/13/2017,3,197,1.64,0.82
11AM,2/13/2017,4,197,0.73,0.365
11AM,2/13/2017,5,199,1.17,0.585
10AM,2/15/2017,1,182,1.87,0.935
10AM,2/15/2017,2,185,1.79,0.895
10AM,2/15/2017,3,184,0.96,0.48
10AM,2/15/2017,4,185,1.42,0.71
10AM,2/15/2017,5,180,0.41,0.205
11AM,2/15/2017,1,194,1.78,0.89
11AM,2/15/2017,2,195,1.86,0.93
11AM,2/15/2017,3,196,1.31,0.655
11AM,2/15/2017,4,198,1.66,0.83
11AM,2/15/2017,5,193,0.27,0.135
10AM,2/20/2017,1,191,1.87,0.935
10AM,2/20/2017,2,191,1.73,0.865
10AM,2/20/2017,3,193,1.88,0.94
10AM,2/20/2017,4,192,1.81,0.905
10AM,2/20/2017,5,192,1.97,0.985
11AM,2/20/2017,1,206,1.87,0.935
11AM,2/20/2017,2,205,1.71,0.855
11AM,2/20/2017,3,208,1.88,0.94
11AM,2/20/2017,4,209,1.88,0.94
11AM,2/20/2017,5,210,1.95,0.975
10AM,2/22/2017,1,195,0.4,0.2
10AM,2/22/2017,2,195,0.69,0.345
10AM,2/22/2017,3,195,0.08,0.04
10AM,2/22/2017,4,196,1.24,0.62
10AM,2/22/2017,5,195,0.25,0.125
10AM,2/22/2017,6,197,1.27,0.635
10AM,2/22/2017,7,199,1.7,0.85
10AM,2/22/2017,8,196,1.44,0.72
10AM,2/22/2017,9,199,1.67,0.835
10AM,2/22/2017,10,199,1.76,0.88
11AM,2/22/2017,1,210,0.28,0.14
11AM,2/22/2017,2,203,0.73,0.365
11AM,2/22/2017,3,209,0.06,0.03
11AM,2/22/2017,4,204,1.34,0.67
11AM,2/22/2017,5,207,0.17,0.085
11AM,2/22/2017,6,204,1.8,0.9
11AM,2/22/2017,7,207,1.83,0.915
11AM,2/22/2017,8,210,1.83,0.915
11AM,2/22/2017,9,212,1.85,0.925
11AM,2/22/2017,10,212,1.88,0.94
10AM,2/27/2017,1,186,1.66,0.83
10AM,2/27/2017,2,187,1.12,0.56
10AM,2/27/2017,3,187,0.86,0.43
10AM,2/27/2017,4,181,1.59,0.795
10AM,2/27/2017,5,187,0.98,0.49
11AM,2/27/2017,1,198,1.8,0.9
11AM,2/27/2017,2,196,0.81,0.405
11AM,2/27/2017,3,199,1.14,0.57
11AM,2/27/2017,4,201,1.87,0.935
11AM,2/27/2017,5,198,1.32,0.66
10AM,3/1/2017,1,179,1.75,0.875
10AM,3/1/2017,2,179,0.67,0.335
10AM,3/1/2017,3,182,1.93,0.965
10AM,3/1/2017,4,182,1.48,0.74
10AM,3/1/2017,5,179,0.49,0.245
11AM,3/1/2017,1,178,1.74,0.87
11AM,3/1/2017,2,181,1.14,0.57
11AM,3/1/2017,3,185,1.76,0.88
11AM,3/1/2017,4,184,1.66,0.83
11AM,3/1/2017,5,185,1.02,0.51
10AM,3/13/2017,1,165,1.94,0.97
10AM,3/13/2017,2,169,1.82,0.91
10AM,3/13/2017,3,169,1.54,0.77
10AM,3/13/2017,4,167,1.24,0.62
10AM,3/13/2017,5,165,0.98,0.49
11AM,3/13/2017,1,169,1.99,0.995
11AM,3/13/2017,2,166,1.89,0.945
11AM,3/13/2017,3,170,1.55,0.775
11AM,3/13/2017,4,169,0.98,0.49
11AM,3/13/2017,5,168,1.33,0.665
10AM,3/15/2017,1,166,1.42,0.71
10AM,3/15/2017,2,169,1.42,0.71
10AM,3/15/2017,3,171,1.85,0.925
10AM,3/15/2017,4,171,1.1,0.55
10AM,3/15/2017,5,172,1.48,0.74
11AM,3/15/2017,1,175,1.36,0.68
11AM,3/15/2017,2,172,1.63,0.815
11AM,3/15/2017,3,177,1.73,0.865
11AM,3/15/2017,4,177,1.38,0.69
11AM,3/15/2017,5,177,1.28,0.64
10AM,3/20/2017,1,150,1.69,0.845
10AM,3/20/2017,2,155,1.79,0.895
10AM,3/20/2017,3,154,1.88,0.94
10AM,3/20/2017,4,157,1.82,0.91
10AM,3/20/2017,5,154,1.08,0.54
11AM,3/20/2017,1,164,1.83,0.915
11AM,3/20/2017,2,167,1.94,0.97
11AM,3/20/2017,3,167,1.98,0.99
11AM,3/20/2017,4,166,1.98,0.99
11AM,3/20/2017,5,168,1.38,0.69
10AM,3/27/2017,1,130,1.85,0.925
