SID,Session
100357,11AM
100583,10AM
100999,11AM
106076,10AM
107554,10AM
107629,10AM
108404,11AM
111501,11AM
114353,11AM
118625,10AM
118937,11AM
120636,10AM
124600,11AM
124899,10AM
127939,10AM
128110,11AM
131629,11AM
131868,11AM
132138,10AM
132767,10AM
133077,10AM
137502,10AM
138208,10AM
139559,10AM
142263,10AM
142751,11AM
145599,11AM
146764,11AM
147551,11AM
151997,11AM
152742,10AM
156878,10AM
157429,11AM
158102,11AM
158726,11AM
161182,10AM
162186,10AM
162888,11AM
163398,10AM
164477,11AM
167701,10AM
170103,10AM
171428,10AM
172338,11AM
174566,10AM
177469,11AM
180351,10AM
180791,11AM
181510,11AM
183542,11AM
184722,10AM
185151,11AM
188851,10AM
191389,11AM
193965,10AM
195762,11AM
196142,10AM
200380,10AM
201478,11AM
202099,10AM
202935,11AM
203691,10AM
203771,11AM
204943,11AM
205654,11AM
206370,10AM
207380,11AM
207404,11AM
208739,11AM
210045,10AM
210087,10AM
212417,11AM
213467,10AM
215385,10AM
219654,11AM
220914,10AM
225769,11AM
226561,10AM
227007,11AM
228465,10AM
229146,10AM
229830,11AM
229969,11AM
233508,11AM
234164,11AM
234842,11AM
235501,10AM
235952,10AM
245092,10AM
245838,11AM
246506,10AM
248841,11AM
255158,10AM
256822,11AM
259967,10AM
260120,10AM
261141,11AM
262704,10AM
263248,11AM
267943,10AM
269602,10AM
269927,11AM
272217,11AM
274167,10AM
274329,11AM
274917,10AM
275275,11AM
276525,11AM
277344,11AM
278423,11AM
279151,11AM
280636,11AM
281172,10AM
281181,10AM
281489,10AM
283071,10AM
285968,11AM
286153,10AM
289506,10AM
289619,10AM
293127,10AM
294431,11AM
295219,11AM
298519,11AM
298853,11AM
300685,11AM
302753,10AM
304454,11AM
304690,11AM
307490,11AM
309863,10AM
310005,10AM
311479,10AM
314027,11AM
316472,10AM
320984,11AM
321506,11AM
321825,10AM
323699,11AM
323984,10AM
324266,11AM
324732,11AM
326652,10AM
327592,11AM
329440,10AM
329445,10AM
329905,11AM
330654,11AM
331956,11AM
332637,10AM
341058,11AM
343130,10AM
345151,10AM
345289,10AM
345628,11AM
347407,11AM
347939,10AM
349225,11AM
353756,10AM
354275,10AM
356993,10AM
358277,10AM
360744,11AM
364456,11AM
369135,10AM
369494,11AM
370794,10AM
372174,11AM
372786,11AM
374209,11AM
380574,10AM
381302,10AM
381671,11AM
384316,11AM
386529,11AM
388562,10AM
390218,10AM
392968,10AM
394041,10AM
395234,10AM
396843,10AM
398586,11AM
400075,11AM
410815,10AM
411033,10AM
412124,11AM
412655,10AM
414237,11AM
420932,11AM
421267,11AM
425004,11AM
426087,11AM
426480,10AM
427348,10AM
427960,10AM
429782,11AM
430409,10AM
431739,10AM
435636,11AM
436183,11AM
437240,10AM
437397,10AM
439441,11AM
441146,10AM
445256,11AM
453695,10AM
456930,11AM
457164,10AM
458913,10AM
461925,10AM
464000,10AM
464589,11AM
466025,11AM
470926,10AM
471140,10AM
471497,11AM
472165,11AM
472769,10AM
474252,10AM
475144,10AM
476007,11AM
478237,10AM
478449,11AM
485033,10AM
487509,11AM
491510,11AM
494834,10AM
494914,11AM
494988,10AM
495260,10AM
496650,10AM
496715,10AM
499801,10AM
502165,11AM
502380,10AM
507531,10AM
510376,10AM
510703,10AM
511354,10AM
512329,11AM
513618,11AM
515696,11AM
517331,10AM
520023,11AM
521675,10AM
523381,11AM
526326,11AM
526458,11AM
527451,11AM
529283,10AM
531194,10AM
531882,11AM
534563,11AM
540428,10AM
540938,11AM
543675,11AM
543737,10AM
544866,10AM
546349,11AM
549012,10AM
552655,10AM
552676,11AM
553238,10AM
553627,10AM
554106,10AM
557973,11AM
558572,10AM
559265,11AM
559569,11AM
560428,10AM
561691,10AM
564985,10AM
566744,11AM
566982,10AM
568524,10AM
569314,11AM
574313,10AM
575212,10AM
575715,10AM
576404,10AM
577851,11AM
578193,10AM
579739,11AM
580760,11AM
580777,11AM
586268,11AM
589163,11AM
590335,11AM
591939,10AM
593448,11AM
593855,11AM
595852,10AM
601683,11AM
603594,10AM
605868,10AM
607492,10AM
612476,11AM
615061,10AM
615797,10AM
615860,10AM
618411,10AM
618951,11AM
620018,10AM
621314,10AM
622333,11AM
625942,11AM
634717,10AM
636535,11AM
640449,11AM
641268,11AM
644244,10AM
645361,10AM
646649,10AM
647219,11AM
647304,10AM
647321,11AM
648897,11AM
651982,11AM
654049,10AM
654694,10AM
666064,11AM
669971,11AM
670342,10AM
671915,11AM
672751,10AM
675745,11AM
675980,11AM
679014,10AM
679620,11AM
681510,11AM
684889,11AM
685176,10AM
687584,11AM
687589,11AM
689549,11AM
692534,10AM
697985,11AM
702832,11AM
706076,10AM
709760,11AM
712637,11AM
714226,11AM
714291,10AM
717176,11AM
723189,10AM
724293,10AM
725103,11AM
725317,11AM
727577,11AM
728229,10AM
728749,11AM
729203,10AM
740222,11AM
740335,10AM
742338,11AM
742593,10AM
743677,11AM
746137,10AM
748593,11AM
748596,11AM
748862,10AM
753453,10AM
755061,10AM
756260,11AM
758324,10AM
759781,11AM
766197,11AM
770950,10AM
772577,10AM
773604,10AM
773969,11AM
775991,11AM
776495,10AM
776691,10AM
776745,11AM
777606,10AM
777640,11AM
779119,10AM
779911,10AM
780581,10AM
783573,10AM
784028,10AM
786200,11AM
788980,11AM
794393,11AM
797538,10AM
799954,10AM
800473,11AM
804415,11AM
804628,11AM
806542,11AM
807286,11AM
807449,11AM
810154,10AM
811796,10AM
814087,10AM
817073,10AM
817130,11AM
